Tarih,Ev,Dep,Lig,Tahmin,Oran,Olasilik,Edge,EfektifEdge,FairP,PiyasaSapma,PiyasaUyum,OverRound,SharpPiyasa,EvELO,DepELO,Konsensus,MC-Analitik,LamEv,LamDep,1.5Uz,2.5Uz,3.5Uz,BTS,EvForm,DepForm,EvMomentum,DepMomentum,EvSeri,DepSeri,H2HGuven,H2HMac,AgirlikELO,AgirlikPoisson,AgirlikForm,MacTarihi,SharpSinyal,HareketGucu,EvHareket,DepHareket,IlkEvOran,IlkDepOran,KitapSayisi,PinnacleVar,GercekSonuc,TelegramBildirildi,RL_Ogrenildi
10.03.2026 19:58,SC Freiburg,1. FC Union Berlin,Bundesliga,Deplasman Kazanır,4.45,0.2918,0.2985,0.2462,0.2361,0.0557,0.667,1.05,1,1516.6,1422.6,0.945,0.945,1.729,1.154,0.772,0.547,0.33,0.554,0.851,0.275,0.0,-0.667,GGGGB,BBMMM,0.83,5,0.4,0.31,0.05,2026-03-15T16:30:00Z,YOK,0.000,0.0,0.0,1.78,4.45,0.0,0.0,dep,1,1
10.03.2026 19:58,Rayo Vallecano de Madrid,Levante UD,La Liga,Deplasman Kazanır,4.38,0.2943,0.289,0.2377,0.2399,0.0544,0.663,1.05,1,1521.3,1431.9,0.939,0.939,1.585,1.005,0.722,0.473,0.26,0.486,0.668,0.16,0.333,-0.333,GMGBG,MGMMM,0.0,0,0.41,0.32,0.05,2026-03-16T20:00:00Z,YOK,0.000,0.0,0.0,1.8,4.38,0.0,0.0,ber,1,1
11.03.2026 02:09,FC Arouca,Sport Lisboa e Benfica,Primeira Liga,Deplasman Kazanır,1.99,0.6952,0.3834,0.3583,0.5276,0.1676,1.0,1.05,1,1440.5,1763.2,0.969,0.969,1.091,2.681,0.884,0.719,0.511,0.609,0.585,0.615,0.167,0.167,GBMGG,MBGMG,0.83,5,0.41,0.3,0.05,2026-03-14T20:30:00Z,YOK,0.000,0.0,0.0,4.24,1.99,0.0,0.0,dep,1,1
11.03.2026 02:09,Feyenoord Rotterdam,SBV Excelsior,Eredivisie,Ev Sahibi Kazanır,1.91,0.73,0.3943,0.3488,0.5488,0.1812,1.0,1.05,1,1631.9,1377.4,0.966,0.966,2.804,1.104,0.893,0.742,0.543,0.623,0.742,0.443,0.5,0.0,BMGGG,MBBGM,0.5,3,0.41,0.3,0.05,2026-03-15T13:30:00Z,YOK,0.000,0.0,0.0,1.91,4.63,0.0,0.0,ev,1,1
11.03.2026 02:09,Real Madrid CF,Elche CF,La Liga,Ev Sahibi Kazanır,1.83,0.7537,0.3793,0.3485,0.5745,0.1792,1.0,1.05,1,1800.2,1439.1,0.925,0.925,2.752,1.038,0.883,0.711,0.509,0.589,0.794,0.054,-0.333,-0.167,GGGGM,BMMMM,0.0,0,0.42,0.31,0.05,2026-03-14T20:00:00Z,YOK,0.000,0.0,0.0,1.83,5.22,0.0,0.0,ev,1,1
11.03.2026 02:09,FC Porto,Moreirense FC,Primeira Liga,Ev Sahibi Kazanır,1.86,0.7467,0.3889,0.3373,0.5653,0.1814,1.0,1.05,1,1800.9,1484.3,0.93,0.93,2.127,0.749,0.778,0.541,0.323,0.45,0.925,0.471,-0.167,0.0,GGBGG,GMMGB,0.83,5,0.41,0.3,0.05,2026-03-15T20:30:00Z,YOK,0.000,0.0,0.0,1.86,4.99,0.0,0.0,ev,1,1
11.03.2026 02:09,Sporting Clube de Portugal,FK Bodø/Glimt,Champions League,Ev Sahibi Kazanır,1.96,0.7108,0.3932,0.3295,0.5354,0.1754,1.0,1.05,1,1851.6,1638.0,0.985,0.985,3.2,1.376,0.935,0.82,0.65,0.709,1.0,0.667,0.0,0.0,GGGGG,BMBGG,0.0,0,0.38,0.33,0.06,2026-03-17T17:45:00Z,YOK,0.000,0.0,0.0,1.96,4.37,0.0,0.0,ev,1,1
11.03.2026 02:09,AZ,Heracles Almelo,Eredivisie,Ev Sahibi Kazanır,1.97,0.6924,0.364,0.3257,0.5333,0.1591,0.977,1.05,1,1550.2,1342.4,0.97,0.97,2.665,1.178,0.89,0.731,0.539,0.634,0.577,0.123,-0.167,-0.167,GBMBG,MMMMM,0.83,5,0.41,0.3,0.05,2026-03-15T13:30:00Z,YOK,0.000,0.0,0.0,1.97,4.33,0.0,0.0,ev,1,1
11.03.2026 02:09,FK Bodø/Glimt,Sporting Clube de Portugal,Champions League,Deplasman Kazanır,2.2,0.6139,0.3506,0.3087,0.4773,0.1366,0.91,1.05,1,1638.0,1851.6,0.955,0.955,1.606,3.2,0.947,0.852,0.698,0.757,0.569,0.711,0.0,-0.167,BMMGG,GGBGB,0.0,0,0.37,0.33,0.06,2026-03-11T20:00:00Z,YOK,0.000,0.0,0.0,3.52,2.2,0.0,0.0,ev,1,1
11.03.2026 02:09,Borussia Dortmund,FC Augsburg,Bundesliga,Ev Sahibi Kazanır,1.92,0.6932,0.3309,0.294,0.5456,0.1476,0.943,1.05,1,1718.5,1474.5,0.941,0.941,2.526,1.073,0.864,0.688,0.479,0.586,0.686,0.302,0.0,0.0,MGGGM,MGMGM,0.83,5,0.4,0.3,0.05,2026-03-14T14:30:00Z,YOK,0.000,0.0,0.0,1.92,4.57,0.0,0.0,ev,1,1
